lat,lon,fecha_inicio,causa,label,superficie_ha,region,comuna
-37.3925,-72.66083333,2023-11-13,4.1 - Faenas forestales | 4.1.5. Rebrote de quema forestal no avisada que  se propaga libre y sin control,0,0.11,Biobío,Los Angeles
-37.62222222,-73.675,2023-11-13,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,0.2,Biobío,Lebu
-36.90472222,-73.14,2023-11-14,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,0.04,Biobío,San Pedro de la Paz
-37.61944444,-72.60888889,2023-11-21,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,0.9,Biobío,Negrete
-36.88861111,-73.15083333,2023-11-22,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.4,Biobío,San Pedro de la Paz
-37.56694444,-72.37638889,2023-11-22,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.3,Biobío,Los Angeles
-36.87527778,-73.1325,2023-11-22,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.04,Biobío,San Pedro de la Paz
-37.66055556,-73.37888889,2023-11-23,4.1 - Faenas forestales | 4.1.6. Quema avisada de desechos forestales mal ejecutada que se propaga libre y sin control (plan de quemas  aviso de quemas),0,1.0,Biobío,Los Alamos
-36.67,-72.96055556,2023-11-25,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,0.03,Biobío,Tomé
-37.58805556,-73.6425,2023-11-25,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.1,Biobío,Lebu
-36.62416667,-72.94972222,2023-11-26,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,0.14,Biobío,Tomé
-37.45972222,-73.58111111,2023-11-28,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,2.0,Biobío,Lebu
-37.6275,-73.65333333,2023-12-02,2.1 - Incendios Intencionales | 2.1.9. Cambio irregular de uso de suelo (habitacional  parcelaciones  agrícola  recreacional  otros),1,0.05,Biobío,Lebu
-36.90388889,-73.14222222,2023-12-02,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.01,Biobío,San Pedro de la Paz
-36.90583333,-73.13694444,2023-12-03,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.2,Biobío,San Pedro de la Paz
-36.76222222,-72.95166667,2023-12-03,5.1 - Incendios de causa indeterminada,0,0.01,Biobío,Penco
-37.8625,-73.405,2023-12-03,4.2 - Faenas agrícolas y pecuarias,0,0.21,Biobío,Cañete
-36.87083333,-73.12638889,2023-12-03,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.1,Biobío,Tomé
-37.61611111,-73.66694444,2023-12-04,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,2.5,Biobío,Lebu
-37.72472222,-73.39305556,2023-12-04,4.8 - Otras quemas,0,0.17,Biobío,Cañete
-37.02694444,-73.13777778,2023-12-04,1.6 - Parcelaciones  edificaciones residenciales  industriales u otras en zonas rurales o de interfaz | 1.6.1. Incendio estructural,0,0.25,Biobío,Coronel
-37.17666667,-72.56333333,2023-12-04,1.9 - Líneas eléctricas | 1.9.3. Otro accidente eléctrico no clasificado,0,0.16,Biobío,Yumbel
-37.20416667,-72.64638889,2023-12-05,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.24,Biobío,Yumbel
-37.29138889,-71.96055556,2023-12-05,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.2,Biobío,Tucapel
-38.14944444,-73.34916667,2023-12-05,2.1 - Incendios Intencionales,1,0.1,Biobío,Tirúa
-37.70138889,-73.56722222,2023-12-05,1.1 - Faenas Forestales,0,0.5,Biobío,Lebu
-37.80194444,-73.28194444,2023-12-05,1.8 - Otras quemas,0,0.45,Biobío,Cañete
-37.85111111,-73.13277778,2023-12-06,5.1 - Incendios de causa indeterminada,0,15.0,Biobío,Cañete
-37.47083333,-73.33888889,2023-12-06,2.1 - Incendios Intencionales,1,0.68,Biobío,Curanilahue
-36.90222222,-73.14194444,2023-12-06,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.8,Biobío,San Pedro de la Paz
-36.98555556,-72.63583333,2023-12-07,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.7,Biobío,Yumbel
-38.00888889,-73.3175,2023-12-07,2.1 - Incendios Intencionales | 2.1.4. Conflicto territorial o patrimonial (deslindes  propiedades  apropiaciones de terreno  otros),1,0.06,Biobío,Cañete
-36.87388889,-73.13361111,2023-12-07,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.1,Biobío,San Pedro de la Paz
-37.24138889,-72.24805556,2023-12-08,1.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 1.3.1. Empleo de fuentes de calor en áreas habilitadas  como fogatas  cocinillas u otro elemento para cocinar  calefacción  iluminación u otros fines,0,1.46,Biobío,Los Angeles
-37.46388889,-72.38583333,2023-12-08,2.1 - Incendios Intencionales | 2.1.6. Para observar operaciones de combate de incendios forestales,1,0.08,Biobío,Los Angeles
-37.64666667,-73.61805556,2023-12-08,4.10 - Otras causas | 4.10.5. Empleo de fuentes de calor por menores de edad,0,1.41,Biobío,Lebu
-38.18,-73.34722222,2023-12-08,2.1 - Incendios Intencionales | 2.1.2. Conflicto entre personas (venganza  familiares  pasionales  otros),1,0.5,Biobío,Tirúa
-37.29333333,-71.96,2023-12-08,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.12,Biobío,Tucapel
-38.13055556,-73.33277778,2023-12-09,2.1 - Incendios Intencionales,1,10.0,Biobío,Tirúa
-37.51333333,-73.40916667,2023-12-09,4.1 - Faenas forestales,0,0.1,Biobío,Curanilahue
-37.58916667,-73.6425,2023-12-10,2.1 - Incendios Intencionales,1,0.01,Biobío,Lebu
-37.4075,-72.41055556,2023-12-11,2.1 - Incendios Intencionales | 2.1.2. Conflicto entre personas (venganza  familiares  pasionales  otros),1,0.05,Biobío,Los Angeles
-37.48527778,-72.365,2023-12-11,2.1 - Incendios Intencionales | 2.1.2. Conflicto entre personas (venganza  familiares  pasionales  otros),1,0.2,Biobío,Los Angeles
-37.3725,-72.63277778,2023-12-11,2.1 - Incendios Intencionales,1,0.11,Biobío,Los Angeles
-36.83666667,-73.06055556,2023-12-12,4.8 - Otras quemas | 4.8.5. Empleo de fuentes de calor en vertederos o basurales,0,0.01,Biobío,Concepción
-37.58166667,-72.53388889,2023-12-12,4.10 - Otras causas | 4.10.4. Acciones asociadas a fumar,0,0.02,Biobío,Negrete
-38.28055556,-73.49805556,2023-12-12,5.1 - Incendios de causa indeterminada,0,0.5,Biobío,Tirúa
-37.74833333,-73.41666667,2023-12-12,4.9 - Líneas eléctricas | 4.9.2. Corte de conductor eléctrico por caída de rama o árbol (excepto por faena forestal o agrícola),0,0.03,Biobío,Cañete
-37.78916667,-73.47638889,2023-12-13,2.1 - Incendios Intencionales,1,0.8,Biobío,Los Alamos
-38.03805556,-73.24305556,2023-12-13,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.19,Biobío,Contulmo
-37.22888889,-72.64416667,2023-12-13,4.6 - Parcelaciones  edificaciones residenciales  industriales u otras en zonas rurales o de interfaz | 4.6.1. Generado por el uso de equipos o herramientas con fines de construcción  limpieza o montaje de estructuras,0,12.0,Biobío,San Rosendo
-37.575,-72.13555556,2023-12-13,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.55,Biobío,Quilleco
-36.81888889,-72.86861111,2023-12-14,4.1 - Faenas forestales | 4.1.4. Partícula incandescente generada sin roce por vehículo  maquinaria o herramienta forestal,0,1.2,Biobío,Concepción
-36.87083333,-73.12638889,2023-12-14,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.45,Biobío,San Pedro de la Paz
-37.38333333,-72.4525,2023-12-14,4.8 - Otras quemas,0,0.28,Biobío,Los Angeles
-37.6975,-73.37027778,2023-12-14,4.1 - Faenas forestales,0,0.05,Biobío,Cañete
-37.6525,-73.49527778,2023-12-14,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.3,Biobío,Los Alamos
-37.19805556,-72.60888889,2023-12-15,2.1 - Incendios Intencionales | 2.1.6. Para observar operaciones de combate de incendios forestales,1,5.0,Biobío,Yumbel
-37.66777778,-73.54861111,2023-12-15,5.1 - Incendios de causa indeterminada,0,0.05,Biobío,Lebu
-37.68194444,-71.23111111,2023-12-15,2.1 - Incendios Intencionales,1,3.5,Biobío,Alto Biobío
-37.69805556,-73.52611111,2023-12-15,4.1 - Faenas forestales | 4.1.5. Rebrote de quema forestal no avisada que  se propaga libre y sin control,0,0.2,Biobío,Lebu
-37.86833333,-73.41222222,2023-12-15,5.1 - Incendios de causa indeterminada,0,0.6,Biobío,Cañete
-37.71027778,-72.23555556,2023-12-15,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.02,Biobío,Mulchén
-36.76777778,-73.02833333,2023-12-15,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.05,Biobío,Penco
-36.84888889,-73.12472222,2023-12-15,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.25,Biobío,San Pedro de la Paz
-37.66777778,-72.065,2023-12-15,4.8 - Otras quemas,0,0.25,Biobío,Quilleco
-37.655,-72.59,2023-12-15,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.01,Biobío,Negrete
-36.70888889,-73.15194444,2023-12-16,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.15,Biobío,Talcahuano
-36.84138889,-73.13138889,2023-12-16,4.10 - Otras causas | 4.10.12. Otras actividades negligentes no clasificadas,0,0.26,Biobío,San Pedro de la Paz
-37.48388889,-72.32527778,2023-12-16,2.1 - Incendios Intencionales | 2.1.4. Conflicto territorial o patrimonial (deslindes  propiedades  apropiaciones de terreno  otros),1,0.03,Biobío,Los Angeles
-37.35944444,-72.28944444,2023-12-19,4.6 - Parcelaciones  edificaciones residenciales  industriales u otras en zonas rurales o de interfaz | 4.6.1. Generado por el uso de equipos o herramientas con fines de construcción  limpieza o montaje de estructuras,0,0.43,Biobío,Los Angeles
-36.7425,-72.89305556,2023-12-19,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.08,Biobío,Florida
-37.43194444,-72.30055556,2023-12-19,1.1 - Faenas Forestales,0,0.15,Biobío,Los Angeles
-36.85277778,-72.90805556,2023-12-19,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.06,Biobío,Concepción
-37.40388889,-72.27611111,2023-12-20,4.10 - Otras causas | 4.10.4. Acciones asociadas a fumar,0,0.35,Biobío,Los Angeles
-37.72694444,-72.24361111,2023-12-20,2.1 - Incendios Intencionales,1,0.03,Biobío,Mulchén
-37.55416667,-72.3,2023-12-20,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.06,Biobío,Los Angeles
-37.0025,-73.13888889,2023-12-21,5.1 - Incendios de causa indeterminada,0,0.2,Biobío,Coronel
-37.00472222,-72.63527778,2023-12-21,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,12.5,Biobío,Yumbel
-37.50583333,-72.65194444,2023-12-21,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.1,Biobío,Nacimiento
-37.73111111,-72.22805556,2023-12-21,2.1 - Incendios Intencionales | 2.1.6. Para observar operaciones de combate de incendios forestales,1,0.6,Biobío,Mulchén
-37.47277778,-72.42861111,2023-12-21,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,3.8,Biobío,Los Angeles
-36.83305556,-73.145,2023-12-21,4.8 - Otras quemas | 4.8.5. Empleo de fuentes de calor en vertederos o basurales,0,0.4,Biobío,San Pedro de la Paz
-37.31722222,-71.57361111,2023-12-21,4.9 - Líneas eléctricas | 4.9.5. Otras causas eléctricas negligentes no  clasificadas,0,3.4,Biobío,Antuco
-37.64472222,-73.56583333,2023-12-22,4.10 - Otras causas | 4.10.12. Otras actividades negligentes no clasificadas,0,0.012,Biobío,Lebu
-37.4075,-72.41,2023-12-22,4.5 - Actividades de control y extinción de incendios forestales,0,0.2,Biobío,Los Angeles
-37.48666667,-72.69722222,2023-12-22,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,1.0,Biobío,Nacimiento
-37.72472222,-73.40916667,2023-12-22,2.1 - Incendios Intencionales | 2.1.8. Extracción o producción de hongos o frutos,1,0.11,Biobío,Cañete
-37.53527778,-72.3325,2023-12-23,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.01,Biobío,Los Angeles
-36.90638889,-73.1375,2023-12-23,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.02,Biobío,San Pedro de la Paz
-36.89805556,-73.13,2023-12-23,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.2,Biobío,San Pedro de la Paz
-36.95694444,-72.52972222,2023-12-24,4.10 - Otras causas | 4.10.4. Acciones asociadas a fumar,0,0.05,Biobío,Yumbel
-38.22277778,-73.41111111,2023-12-24,4.1 - Faenas forestales,0,4.3,Biobío,Tirúa
-36.90361111,-73.14194444,2023-12-24,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,0.05,Biobío,San Pedro de la Paz
-37.98805556,-73.26222222,2023-12-24,4.6 - Parcelaciones  edificaciones residenciales  industriales u otras en zonas rurales o de interfaz | 4.6.6. Desecho de  cenizas de chimenea  calefacción  cocina leña  tinajas  otros,0,0.32,Biobío,Contulmo
-37.23833333,-72.63611111,2023-12-24,4.10 - Otras causas,0,0.1,Biobío,Laja
-37.295,-72.17138889,2023-12-24,4.6 - Parcelaciones  edificaciones residenciales  industriales u otras en zonas rurales o de interfaz,0,0.45,Biobío,Los Angeles
-37.11777778,-72.86888889,2023-12-24,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.05,Biobío,Hualqui
-37.56388889,-72.56472222,2023-12-25,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.24,Biobío,Los Angeles
-36.68944444,-72.96638889,2023-12-25,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.07,Biobío,Tomé
-36.81138889,-73.0825,2023-12-25,2.1 - Incendios Intencionales | 2.1.9. Cambio irregular de uso de suelo (habitacional  parcelaciones  agrícola  recreacional  otros),1,1.02,Biobío,Concepción
-36.99416667,-73.1525,2023-12-25,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.16,Biobío,Penco
-37.48333333,-72.44722222,2023-12-25,4.2 - Faenas agrícolas y pecuarias,0,0.11,Biobío,Los Angeles
-36.99416667,-73.1525,2023-12-25,4.8 - Otras quemas | 4.8.5. Empleo de fuentes de calor en vertederos o basurales,0,0.3,Biobío,Coronel
-36.75611111,-73.17916667,2023-12-25,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.15,Biobío,Hualpén
-36.74083333,-72.92861111,2023-12-25,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.05,Biobío,Penco
-36.85138889,-72.90666667,2023-12-26,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.01,Biobío,Concepción
-37.66083333,-72.56388889,2023-12-26,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.16,Biobío,Negrete
-36.95416667,-72.92944444,2023-12-27,1.7 - Originados por desplazamiento de personas  vehículos o aeronaves,0,0.16,Biobío,Hualqui
-36.95388889,-72.92888889,2023-12-27,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.06,Biobío,Hualqui
-38.17638889,-73.43222222,2023-12-28,5.1 - Incendios de causa indeterminada,0,7.45,Biobío,Tirúa
-36.69111111,-72.97111111,2023-12-28,2.1 - Incendios Intencionales | 2.1.6. Para observar operaciones de combate de incendios forestales,1,0.7,Biobío,Tomé
-37.37166667,-72.63388889,2023-12-28,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,0.02,Biobío,Los Angeles
-37.62777778,-73.57416667,2023-12-28,2.1 - Incendios Intencionales | 2.1.2. Conflicto entre personas (venganza  familiares  pasionales  otros),1,0.3,Biobío,Lebu
-36.90444444,-73.13055556,2023-12-29,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,1.0,Biobío,San Pedro de la Paz
-36.98833333,-73.15833333,2023-12-29,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.08,Biobío,Coronel
-37.62777778,-73.57388889,2023-12-29,2.1 - Incendios Intencionales | 2.1.2. Conflicto entre personas (venganza  familiares  pasionales  otros),1,3.11,Biobío,Los Alamos
-37.73055556,-73.50527778,2023-12-29,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.15,Biobío,Los Alamos
-36.85166667,-73.05222222,2023-12-29,4.10 - Otras causas | 4.10.11. Empleo de fuentes de calor por personas en situación de calle,0,0.4,Biobío,Concepción
-36.8975,-73.12916667,2023-12-30,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.36,Biobío,San Pedro de la Paz
-37.72388889,-73.3775,2023-12-30,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.2,Biobío,Cañete
-37.98805556,-73.26111111,2023-12-30,1.10 - Otras causas,0,0.5,Biobío,Contulmo
-37.10388889,-73.15027778,2023-12-30,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.01,Biobío,Lota
-36.64916667,-72.96055556,2023-12-31,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.01,Biobío,Tomé
-36.85277778,-72.90833333,2023-12-31,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.01,Biobío,Concepción
-36.69222222,-72.96694444,2023-12-31,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.25,Biobío,Tomé
-37.08361111,-73.16972222,2023-12-31,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.3,Biobío,Lota
-36.73666667,-72.98222222,2023-12-31,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.03,Biobío,Penco
-37.01777778,-73.5425,2023-12-31,4.10 - Otras causas | 4.10.6. Fuegos artificiales  bengalas  otros artefactos pirotécnicos o globos aerostáticos,0,2.5,Biobío,Coronel
-37.37,-72.11944444,2023-12-31,1.1 - Faenas Forestales,0,0.05,Biobío,Los Angeles
-37.72861111,-72.23277778,2023-12-31,2.1 - Incendios Intencionales,1,0.22,Biobío,Mulchén
-37.08944444,-73.17277778,2023-12-31,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.01,Biobío,Lota
